id_ess,name,tech,capacity,investment,active,id_bus,ch_eff,dch_eff,cvar,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_fr,n,contingency
1,VPP CRE,CER,13.923,1,1,2,0.922,0.922,0,20,20,30.6306,0,13.923,0,13.923,0,0.95,1,1,0,0,0,100,0,1
2,VPP LYD,CER,6.195,1,1,3,0.922,0.922,0,20,20,13.629000000000001,0,6.195,0,6.195,0,0.95,1,1,0,0,0,100,0,1
3,VPP BWN,CER,8.304,1,1,4,0.922,0.922,0,20,20,18.268800000000002,0,8.304,0,8.304,0,0.95,1,1,0,0,0,100,0,1
4,VPP NRN,CER,5.969,1,1,5,0.922,0.922,0,20,20,13.131800000000002,0,5.969,0,5.969,0,0.95,1,1,0,0,0,100,0,1
5,VPP OFR,CER,13.555,1,1,6,0.922,0.922,0,20,20,29.821,0,13.555,0,13.555,0,0.95,1,1,0,0,0,100,0,1
6,VPP CLN,CER,20.014,1,1,7,0.922,0.922,0,20,20,44.0308,0,20.014,0,20.014,0,0.95,1,1,0,0,0,100,0,1
7,VPP PHM,CER,13.369,1,1,8,0.922,0.922,0,20,20,29.411800000000003,0,13.369,0,13.369,0,0.95,1,1,0,0,0,100,0,1
8,VPP LLG,CER,4.544,1,1,10,0.922,0.922,0,20,20,9.9968,0,4.544,0,4.544,0,0.95,1,1,0,0,0,100,0,1
9,2hBESS CRE,DER,5,1,1,2,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
10,2hBESS LYD,DER,5,1,1,3,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
11,2hBESS BWN,DER,5,1,1,4,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
12,2hBESS NRN,DER,5,1,1,5,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
13,2hBESS OFR,DER,5,1,1,6,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
14,2hBESS CLN,DER,5,1,1,7,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
15,2hBESS PHM,DER,5,1,1,8,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
16,2hBESS PSHTEE,DER,5,1,1,9,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
17,2hBESS LLG,DER,5,1,1,10,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
18,4hBESS CRE,DER,5,1,0,2,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
19,4hBESS LYD,DER,5,1,0,3,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
20,4hBESS BWN,DER,5,1,0,4,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
21,4hBESS NRN,DER,5,1,0,5,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
22,4hBESS OFR,DER,5,1,0,6,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
23,4hBESS CLN,DER,5,1,0,7,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
24,4hBESS PHM,DER,5,1,0,8,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
25,4hBESS PSHTEE,DER,5,1,0,9,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
26,4hBESS LLG,DER,5,1,0,10,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
