id,lin_id,scenario,date,value
1,15,1,2024-07-01 00:00:00,150
2,15,2,2024-07-01 00:00:00,150
3,15,3,2024-07-01 00:00:00,150
4,15,1,2026-07-01 00:00:00,800
5,15,2,2026-07-01 00:00:00,800
6,15,3,2026-07-01 00:00:00,800
7,16,1,2025-07-01 00:00:00,910
8,16,2,2025-07-01 00:00:00,910
9,16,3,2025-07-01 00:00:00,910
10,1,1,2025-07-01 00:00:00,1400
11,1,1,2025-12-01 00:00:00,1200
12,1,1,2026-01-01 00:00:00,1200
13,1,1,2026-06-01 00:00:00,1400
14,1,2,2025-07-01 00:00:00,1400
15,1,2,2025-12-01 00:00:00,1200
16,1,2,2026-01-01 00:00:00,1200
17,1,2,2026-06-01 00:00:00,1400
18,1,3,2025-07-01 00:00:00,1400
19,1,3,2025-12-01 00:00:00,1200
20,1,3,2026-01-01 00:00:00,1200
21,1,3,2026-06-01 00:00:00,1400
22,1,1,2030-07-01 00:00:00,1400
23,1,1,2030-12-01 00:00:00,1200
24,1,1,2031-01-01 00:00:00,1200
25,1,1,2031-06-01 00:00:00,1400
26,1,2,2030-07-01 00:00:00,1400
27,1,2,2030-12-01 00:00:00,1200
28,1,2,2031-01-01 00:00:00,1200
29,1,2,2031-06-01 00:00:00,1400
30,1,3,2030-07-01 00:00:00,1400
31,1,3,2030-12-01 00:00:00,1200
32,1,3,2031-01-01 00:00:00,1200
33,1,3,2031-06-01 00:00:00,1400
34,1,1,2035-07-01 00:00:00,1400
35,1,1,2035-12-01 00:00:00,1200
36,1,1,2036-01-01 00:00:00,1200
37,1,1,2036-06-01 00:00:00,1400
38,1,2,2035-07-01 00:00:00,1400
39,1,2,2035-12-01 00:00:00,1200
40,1,2,2036-01-01 00:00:00,1200
41,1,2,2036-06-01 00:00:00,1400
42,1,3,2035-07-01 00:00:00,1400
43,1,3,2035-12-01 00:00:00,1200
44,1,3,2036-01-01 00:00:00,1200
45,1,3,2036-06-01 00:00:00,1400
46,1,1,2040-07-01 00:00:00,1400
47,1,1,2040-12-01 00:00:00,1200
48,1,1,2041-01-01 00:00:00,1200
49,1,1,2041-06-01 00:00:00,1400
50,1,2,2040-07-01 00:00:00,1400
51,1,2,2040-12-01 00:00:00,1200
52,1,2,2041-01-01 00:00:00,1200
53,1,2,2041-06-01 00:00:00,1400
54,1,3,2040-07-01 00:00:00,1400
55,1,3,2040-12-01 00:00:00,1200
56,1,3,2041-01-01 00:00:00,1200
57,1,3,2041-06-01 00:00:00,1400
58,1,1,2050-07-01 00:00:00,1400
59,1,1,2050-12-01 00:00:00,1200
60,1,1,2051-01-01 00:00:00,1200
61,1,1,2051-06-01 00:00:00,1400
62,1,2,2050-07-01 00:00:00,1400
63,1,2,2050-12-01 00:00:00,1200
64,1,2,2051-01-01 00:00:00,1200
65,1,2,2051-06-01 00:00:00,1400
66,1,3,2050-07-01 00:00:00,1400
67,1,3,2050-12-01 00:00:00,1200
68,1,3,2051-01-01 00:00:00,1200
69,1,3,2051-06-01 00:00:00,1400
70,2,1,2025-07-01 00:00:00,1100
71,2,1,2025-12-01 00:00:00,750
72,2,1,2026-01-01 00:00:00,750
73,2,1,2026-06-01 00:00:00,1100
74,2,2,2025-07-01 00:00:00,1100
75,2,2,2025-12-01 00:00:00,750
